,0,1,2
0,0.0,11977,164800
1,0.01600000000325963,11977,164800
2,0.01600000000325963,11977,164800
3,0.03200000000651926,32808,152104
4,0.046999999991385266,32808,152104
5,0.0629999999946449,32808,152104
6,0.07899999999790452,55693,137100
7,0.09400000001187436,55693,137100
8,0.10999999998603016,55693,137100
9,0.125,10481,155553
10,0.14100000000325963,10481,155553
11,0.14100000000325963,10481,155553
12,0.15700000000651926,35658,191904
13,0.17199999999138527,35658,191904
14,0.1879999999946449,35658,191904
15,0.20399999999790452,35658,165897
16,0.20399999999790452,49358,165897
17,0.21900000001187436,49358,165897
18,0.23499999998603016,49358,168405
19,0.25,14588,168405
20,0.26600000000325963,14588,168405
21,0.28200000000651926,38623,160808
22,0.29699999999138527,38623,160808
23,0.3129999999946449,38623,135818
24,0.3289999999979045,42782,135818
25,0.34400000001187436,42782,135818
26,0.35999999998603016,42782,135818
27,0.35999999998603016,14092,136200
28,0.375,14092,136200
29,0.39100000000325963,14092,136200
30,0.40700000000651926,14092,146342
31,0.42199999999138527,36529,146342
32,0.4379999999946449,36529,146342
33,0.4539999999979045,36529,155145
34,0.4539999999979045,42539,155145
35,0.46900000001187436,42539,155145
36,0.48499999998603016,42539,169583
37,0.5,11066,169583
38,0.5,11066,169583
39,0.5160000000032596,11066,169583
40,0.5320000000065193,11066,180878
41,0.5469999999913853,39395,180878
42,0.5469999999913853,39395,180878
43,0.5629999999946449,39395,180878
44,0.5789999999979045,39395,151745
45,0.5789999999979045,36355,151745
46,0.5940000000118744,36355,151745
47,0.6099999999860302,36355,151745
48,0.625,6184,156641
49,0.6410000000032596,6184,156641
50,0.6570000000065193,6184,156641
51,0.6570000000065193,40474,167187
52,0.6719999999913853,40474,167187
53,0.6879999999946449,40474,167187
54,0.7039999999979045,40474,117654
55,0.7039999999979045,26011,117654
56,0.7190000000118744,26011,117654
57,0.7349999999860302,26011,117654
58,0.7349999999860302,26011,141412
59,0.75,6306,141412
60,0.75,6306,141412
61,0.7660000000032596,6306,141412
62,0.7820000000065193,38081,166000
63,0.7969999999913853,38081,166000
64,0.8129999999946449,38081,166000
65,0.8289999999979045,17497,162676
66,0.8440000000118744,17497,162676
67,0.8440000000118744,17497,162676
68,0.8599999999860302,17497,185767
69,0.875,14587,185767
70,0.875,14587,185767
71,0.8910000000032596,14587,185767
72,0.9070000000065193,14587,197713
73,0.9070000000065193,33656,197713
74,0.9219999999913853,33656,197713
75,0.9379999999946449,33656,197713
76,0.9379999999946449,33656,197713
77,0.9539999999979045,13061,172589
78,0.9690000000118744,13061,172589
79,0.9849999999860302,23482,190690
80,1.0,23482,190690
81,1.0160000000032596,23482,190690
82,1.0320000000065193,29841,194674
83,1.0320000000065193,29841,194674
84,1.0469999999913853,29841,194674
85,1.062999999994645,29841,194674
86,1.062999999994645,20020,172373
87,1.0789999999979045,20020,172373
88,1.0940000000118744,20020,172373
89,1.0940000000118744,20020,172373
90,1.1099999999860302,29297,182623
91,1.125,29297,182623
92,1.125,29297,182623
93,1.1410000000032596,29297,152855
94,1.1570000000065193,27912,152855
95,1.1719999999913853,27912,152855
96,1.187999999994645,20731,114920
97,1.2039999999979045,20731,114920
98,1.2190000000118744,20731,114920
99,1.2190000000118744,20731,114920
100,1.2349999999860302,35746,139651
101,1.25,35746,139651
102,1.25,35746,139651
103,1.2660000000032596,35746,139651
104,1.2820000000065193,30709,152701
105,1.2820000000065193,30709,152701
106,1.2969999999913853,30709,152701
107,1.312999999994645,30709,152701
108,1.312999999994645,25471,130343
109,1.3289999999979045,25471,130343
110,1.3440000000118744,25471,130343
111,1.3599999999860302,25471,130343
112,1.375,25471,153773
113,1.3910000000032596,37156,153773
114,1.3910000000032596,37156,153773
115,1.4070000000065193,37156,153773
116,1.4219999999913853,37156,156559
117,1.4219999999913853,35870,156559
118,1.437999999994645,35870,156559
119,1.437999999994645,35870,156559
120,1.4539999999979045,35870,142096
121,1.4690000000118744,27233,142096
122,1.4690000000118744,27233,142096
123,1.4849999999860302,27233,142096
124,1.5,42566,185027
125,1.5160000000032596,42566,185027
126,1.5320000000065193,42566,172790
127,1.5469999999913853,34637,172790
128,1.562999999994645,34637,172790
129,1.5789999999979045,34637,172790
130,1.5789999999979045,20622,150161
131,1.5940000000118744,20622,150161
132,1.6099999999860302,20622,150161
133,1.6099999999860302,20622,150161
134,1.625,42974,204764
135,1.6410000000032596,42974,204764
136,1.6410000000032596,42974,204764
137,1.6570000000065193,42974,169873
138,1.6719999999913853,27389,169873
139,1.687999999994645,27389,169873
140,1.7039999999979045,27389,147103
141,1.7190000000118744,24853,147103
142,1.7349999999860302,24853,147103
143,1.7349999999860302,24853,147103
144,1.75,26989,180685
145,1.75,26989,180685
146,1.7660000000032596,26989,180685
147,1.7820000000065193,26989,180685
148,1.7820000000065193,13420,143791
149,1.7969999999913853,13420,143791
150,1.812999999994645,13420,143791
151,1.812999999994645,13420,143791
152,1.8289999999979045,20088,146482
153,1.8440000000118744,20088,146482
154,1.8599999999860302,20088,146482
155,1.8599999999860302,20088,178637
156,1.875,12481,178637
157,1.8910000000032596,12481,178637
158,1.9070000000065193,12481,154881
159,1.9219999999913853,4961,154881
160,1.9219999999913853,4961,154881
161,1.937999999994645,4961,154881
162,1.9539999999979045,4961,154881
163,1.9539999999979045,23738,159828
164,1.9690000000118744,23738,159828
165,1.9690000000118744,23738,159828
166,1.9849999999860302,23738,184641
167,2.0,13639,184641
168,2.0160000000032596,13639,184641
169,2.0320000000065193,13639,149611
170,2.0469999999913853,494,149611
171,2.062999999994645,494,149611
172,2.062999999994645,494,133677
173,2.0940000000118744,30258,133677
174,2.0940000000118744,30258,133677
175,2.10999999998603,30258,133677
176,2.10999999998603,30258,160036
177,2.125,10691,160036
178,2.125,10691,160036
179,2.1410000000032596,10691,160036
180,2.1570000000065193,10691,161825
181,2.1570000000065193,-1812,161825
182,2.1719999999913853,-1812,161825
183,2.187999999994645,-1812,161825
184,2.2039999999979045,27739,172521
185,2.2190000000118744,27739,172521
186,2.2190000000118744,27739,172521
187,2.23499999998603,19893,185696
188,2.25,19893,185696
189,2.2660000000032596,19893,185696
190,2.2820000000065193,19893,177505
191,2.2820000000065193,1582,177505
192,2.2969999999913853,1582,177505
193,2.312999999994645,1582,177505
194,2.312999999994645,1582,177333
195,2.3289999999979045,23644,177333
196,2.3440000000118744,23644,177333
197,2.3440000000118744,23644,177333
198,2.35999999998603,23644,191329
199,2.375,32135,191329
200,2.375,32135,191329
201,2.3910000000032596,32135,191329
202,2.4070000000065193,2436,202828
203,2.4219999999913853,2436,202828
204,2.437999999994645,2436,202828
205,2.4539999999979045,2436,221126
206,2.4539999999979045,35874,221126
207,2.4690000000118744,35874,221126
208,2.48499999998603,35874,221126
209,2.48499999998603,36586,212503
210,2.5,36586,212503
211,2.5160000000032596,36586,212503
212,2.5160000000032596,36586,212503
213,2.5320000000065193,15523,210701
214,2.5469999999913853,15523,210701
215,2.562999999994645,15523,210701
216,2.562999999994645,15523,210701
217,2.5789999999979045,15523,212728
218,2.5940000000118744,46429,212728
219,2.60999999998603,46429,212728
220,2.625,46429,212728
221,2.6410000000032596,42944,209937
222,2.6570000000065193,42944,209937
223,2.6570000000065193,42944,209937
224,2.6719999999913853,42944,209937
225,2.6719999999913853,34307,213499
226,2.687999999994645,34307,213499
227,2.7039999999979045,34307,213499
228,2.7190000000118744,34307,180463
229,2.7190000000118744,48681,180463
230,2.73499999998603,48681,180463
231,2.75,48681,180463
232,2.7660000000032596,52566,172630
233,2.7820000000065193,52566,172630
234,2.7969999999913853,52566,163117
235,2.812999999994645,34124,163117
236,2.812999999994645,34124,163117
237,2.8289999999979045,34124,163117
238,2.8440000000118744,54795,177724
239,2.8440000000118744,54795,177724
240,2.85999999998603,54795,177724
241,2.875,54795,177724
242,2.875,50900,171804
243,2.8910000000032596,50900,171804
244,2.9070000000065193,50900,171804
245,2.9219999999913853,50900,166561
246,2.9219999999913853,34061,166561
247,2.937999999994645,34061,166561
248,2.9539999999979045,34061,183820
249,2.9690000000118744,55437,183820
250,2.98499999998603,55437,183820
251,3.0,55437,183820
252,3.0,48728,198204
253,3.0160000000032596,48728,198204
254,3.0320000000065193,48728,198204
255,3.0320000000065193,48728,198204
256,3.0469999999913853,48728,210682
257,3.0469999999913853,35990,210682
258,3.062999999994645,35990,210682
259,3.0789999999979045,35990,210682
260,3.0789999999979045,35990,224242
261,3.0940000000118744,63837,224242
262,3.10999999998603,63837,224242
263,3.125,63837,239218
264,3.1410000000032596,46051,239218
265,3.1570000000065193,46051,239218
266,3.1719999999913853,46051,237729
267,3.1719999999913853,33028,237729
268,3.187999999994645,33028,237729
269,3.2039999999979045,33028,237729
270,3.2039999999979045,33028,232575
271,3.2190000000118744,63069,232575
272,3.2190000000118744,63069,232575
273,3.23499999998603,63069,232575
274,3.25,63069,232575
275,3.25,45105,215842
276,3.2660000000032596,45105,215842
277,3.2820000000065193,45105,215842
278,3.2969999999913853,36634,210287
279,3.312999999994645,36634,210287
280,3.3289999999979045,36634,210287
281,3.3289999999979045,59926,201422
282,3.3440000000118744,59926,201422
283,3.35999999998603,59926,201422
284,3.35999999998603,59926,201422
285,3.375,47423,210403
286,3.3910000000032596,47423,210403
287,3.3910000000032596,47423,210403
288,3.4070000000065193,47423,210403
289,3.4219999999913853,40720,218285
290,3.4219999999913853,40720,218285
291,3.437999999994645,40720,218285
292,3.4539999999979045,40720,217787
293,3.4690000000118744,59397,217787
294,3.48499999998603,59397,217787
295,3.5,59397,217668
296,3.5160000000032596,42356,217668
297,3.5320000000065193,42356,217668
298,3.5320000000065193,42356,234944
299,3.5469999999913853,46920,234944
300,3.562999999994645,46920,234944
301,3.562999999994645,46920,234944
302,3.5789999999979045,46920,234944
303,3.5789999999979045,56528,238444
304,3.5940000000118744,56528,238444
305,3.60999999998603,56528,238444
